Group Address;Description;DatapointType;Building;Floor;Room;Central;Unfiltered
0/0/1;Lobby Ceiling Lights Switch;DPST-1-1;MainBuilding;GF;Lobby;;
0/0/2;Lobby Ceiling Lights Dimming;DPST-5-1;MainBuilding;GF;Lobby;;
0/0/3;Lobby Ceiling Lights Status;DPST-1-1;MainBuilding;GF;Lobby;;
0/0/4;Lobby Lux Level;DPST-9-4;MainBuilding;GF;Lobby;;
0/0/5;Lobby Motion Detector;DPST-1-1;MainBuilding;GF;Lobby;;
0/1/1;Open Space Zone A Lights Switch;DPST-1-1;MainBuilding;1F;OpenSpace;;
0/1/2;Open Space Zone A Dimming;DPST-5-1;MainBuilding;1F;OpenSpace;;
0/1/3;Open Space Zone A Status;DPST-1-1;MainBuilding;1F;OpenSpace;;
0/1/4;Open Space Zone B Lights Switch;DPST-1-1;MainBuilding;1F;OpenSpace;;
0/1/5;Open Space Zone B Dimming;DPST-5-1;MainBuilding;1F;OpenSpace;;
0/1/6;Open Space Zone B Status;DPST-1-1;MainBuilding;1F;OpenSpace;;
0/1/7;Open Space Lux Level;DPST-9-4;MainBuilding;1F;OpenSpace;;
0/1/8;Open Space Motion Detector;DPST-1-1;MainBuilding;1F;OpenSpace;;
0/2/1;Meeting Room Lights Switch;DPST-1-1;MainBuilding;1F;MeetingRoom;;
0/2/2;Meeting Room Dimming;DPST-5-1;MainBuilding;1F;MeetingRoom;;
0/2/3;Meeting Room Lights Status;DPST-1-1;MainBuilding;1F;MeetingRoom;;
0/2/4;Meeting Room Temperature;DPST-9-1;MainBuilding;1F;MeetingRoom;;
0/2/5;Meeting Room Temperature Setpoint;DPST-9-1;MainBuilding;1F;MeetingRoom;;
0/2/6;Meeting Room Occupancy;DPST-1-1;MainBuilding;1F;MeetingRoom;;
1/0/1;Lobby Blinds Position;DPST-5-1;MainBuilding;GF;Lobby;;
1/0/2;Lobby Blinds Up/Down;DPST-1-8;MainBuilding;GF;Lobby;;
1/1/1;Open Space Blinds Position;DPST-5-1;MainBuilding;1F;OpenSpace;;
1/1/2;Open Space Blinds Up/Down;DPST-1-8;MainBuilding;1F;OpenSpace;;
1/2/1;Meeting Room Blinds Position;DPST-5-1;MainBuilding;1F;MeetingRoom;;
1/2/2;Meeting Room Blinds Up/Down;DPST-1-8;MainBuilding;1F;MeetingRoom;;
2/0/1;Server Room Temperature;DPST-9-1;MainBuilding;B1;ServerRoom;;
2/0/2;Server Room Humidity;DPST-9-7;MainBuilding;B1;ServerRoom;;
2/0/3;Server Room Smoke Detector;DPST-1-1;MainBuilding;B1;ServerRoom;;
2/0/4;Server Room Door Contact;DPST-1-1;MainBuilding;B1;ServerRoom;;
2/0/5;Server Room AC Running;DPST-1-1;MainBuilding;B1;ServerRoom;;
3/0/1;Parking Gate Open;DPST-1-1;MainBuilding;B1;Parking;;
3/0/2;Parking Barrier Up/Down;DPST-1-8;MainBuilding;B1;Parking;;
3/0/3;Parking Spaces Available;DPST-12-1;MainBuilding;B1;Parking;;
3/0/4;Parking CO Level;DPST-9-8;MainBuilding;B1;Parking;;
