# Modbus Register Map — HVAC System
# Site : Commercial Office Building
# IP   : 10.0.1.50  Port: 502
# Export: 2025-06-15
#
## Columns: SlaveID, RegisterType, Address, Name, DataType, ScaleFactor, Unit, R/W, Description
1,InputRegister,0,AHU1_SupplyAirTemp,Float32,0.1,°C,R,Supply air temperature
1,InputRegister,2,AHU1_ReturnAirTemp,Float32,0.1,°C,R,Return air temperature
1,InputRegister,4,AHU1_SupplyAirHumidity,Float32,0.1,%RH,R,Supply air relative humidity
1,InputRegister,6,AHU1_FilterDiffPressure,Float32,1,Pa,R,Filter differential pressure
1,InputRegister,8,AHU1_FanSpeed,UInt16,1,RPM,R,Supply fan speed
1,HoldingRegister,100,AHU1_SupplyTempSetpoint,Float32,0.1,°C,RW,Supply air temperature setpoint
1,HoldingRegister,102,AHU1_FanSpeedSetpoint,UInt16,1,%,RW,Fan speed setpoint 0-100%
1,HoldingRegister,104,AHU1_Mode,UInt16,1,,RW,0=Off 1=Heat 2=Cool 3=Auto
1,Coil,0,AHU1_EnableFan,Boolean,1,,RW,Enable supply fan
1,Coil,1,AHU1_EnableHeater,Boolean,1,,RW,Enable electric heater
1,Coil,2,AHU1_EnableCooling,Boolean,1,,RW,Enable cooling valve
1,DiscreteInput,0,AHU1_FilterAlarm,Boolean,1,,R,Filter clogged alarm
1,DiscreteInput,1,AHU1_FrostAlarm,Boolean,1,,R,Frost protection active
2,InputRegister,0,Chiller_SupplyTemp,Float32,0.1,°C,R,Chilled water supply temp
2,InputRegister,2,Chiller_ReturnTemp,Float32,0.1,°C,R,Chilled water return temp
2,InputRegister,4,Chiller_Power,Float32,0.1,kW,R,Compressor power consumption
2,InputRegister,6,Chiller_COP,Float32,0.01,,R,Coefficient of performance
2,HoldingRegister,100,Chiller_SupplySetpoint,Float32,0.1,°C,RW,Chilled water setpoint
2,HoldingRegister,102,Chiller_Mode,UInt16,1,,RW,0=Off 1=Cool 2=FreeClg 3=Auto
2,Coil,0,Chiller_Enable,Boolean,1,,RW,Enable chiller
2,DiscreteInput,0,Chiller_CompressorFault,Boolean,1,,R,Compressor fault
2,DiscreteInput,1,Chiller_HighPressure,Boolean,1,,R,High pressure cutout
3,InputRegister,0,Boiler_SupplyTemp,Float32,0.1,°C,R,Hot water supply temp
3,InputRegister,2,Boiler_ReturnTemp,Float32,0.1,°C,R,Hot water return temp
3,InputRegister,4,Boiler_FuelRate,Float32,0.1,m³/h,R,Gas consumption rate
3,InputRegister,6,Boiler_FlueTemp,Float32,0.1,°C,R,Flue gas temperature
3,HoldingRegister,100,Boiler_SupplySetpoint,Float32,0.1,°C,RW,Hot water setpoint
3,HoldingRegister,102,Boiler_Mode,UInt16,1,,RW,0=Off 1=Heat 2=Auto
3,Coil,0,Boiler_Enable,Boolean,1,,RW,Enable boiler
3,DiscreteInput,0,Boiler_FlameFault,Boolean,1,,R,Flame failure
3,DiscreteInput,1,Boiler_OverTemp,Boolean,1,,R,Over-temperature cutout
4,InputRegister,0,EnergyMeter_TotalKWh,Float32,1,kWh,R,Total energy consumed
4,InputRegister,2,EnergyMeter_PowerNow,Float32,0.1,kW,R,Instantaneous power
4,InputRegister,4,EnergyMeter_Voltage_L1,Float32,0.1,V,R,Phase L1 voltage
4,InputRegister,6,EnergyMeter_Voltage_L2,Float32,0.1,V,R,Phase L2 voltage
4,InputRegister,8,EnergyMeter_Voltage_L3,Float32,0.1,V,R,Phase L3 voltage
4,InputRegister,10,EnergyMeter_Current_L1,Float32,0.01,A,R,Phase L1 current
4,InputRegister,12,EnergyMeter_Current_L2,Float32,0.01,A,R,Phase L2 current
4,InputRegister,14,EnergyMeter_Current_L3,Float32,0.01,A,R,Phase L3 current
4,InputRegister,16,EnergyMeter_PowerFactor,Float32,0.001,,R,Power factor
